i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
-they lost my laptop for a month|||O O O O O O O
spent 2 hours on phone with hp technical support .|||O O O O O O B-AP I-AP I-AP O
this is my second laptop , and it is head and shoulders above my first .|||O O O O O O O O O O O O O O O O
at first !|||O O O
speaking of the browser , it too has problems .|||O O O B-AP O O O O O O
i think just going from pc to mac has gotten me totally spoiled and i ca n't imagine ever going back .|||O O O O O O O O O O O O O O O O O O O O O O
the keyboard is too slick .|||O B-AP O O O O
nightly my computer defrags itself and runs a virus scan .|||O O O O O O O O B-AP I-AP O
it 's like 9 punds , but if you can look past it , it 's great !|||O O O B-AP I-AP O O O O O O O O O O O O O
it 's just as fast with one program open as it is with sixteen open .|||O O O O O O O B-AP O O O O O O O O
still under warrenty so called toshiba , no help at all .|||O O B-AP O O O O O O O O O
i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty .|||O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
i love it !|||O O O O
amazing quality !|||O B-AP O
the fact that you can spend over $ 100 on just a webcam underscores the value of this machine .|||O O O O O O O O O O O O B-AP O O B-AP O O O O
i mainly use it for email , internet , and managing personal files pics , vids , etc .|||O O O O O O O B-AP O O B-AP I-AP I-AP O O O O O O
a month or so ago , the freaking motherboard just died .|||O O O O O O O O B-AP O O O
the system it comes with does not work properly , so when trying to fix the problems with it it started not working at all .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running .|||O O O O O O O B-AP O O O O O O O O O O O O B-AP O O O O O O O
i took it back to best buy where they were so helpful and immediately gave me a new one .|||O O O O O O O O O O O O O O O O O O O O
if you had pc for four years i can almost gaurentee that something would of gone wrong by now , maybe even forcing you to replace your entire computer .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
*2 weeks after giving the computer for repair*-called headquarters , they report that they have not looked at it yet but it is on the top of the stack .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
this machine delivers .|||O O O O
then 2 of my nephews were going into music and both fell in love with the macbook pro .|||O O O O O O O O O O O O O O O O O O O
i complain again .|||O O O O
this laptop is insane ! ! !|||O O O O O O O
if a website ever freezes which is rare , its really easy to force quit .|||O O O O O O O O O O O O O B-AP I-AP O
it does run a little warm but that is a negligible concern .|||O O O O O O O O O O O O O
it rarely works and when it does it 's incredibly slow .|||O O B-AP O O O O O O O O O
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O B-AP I-AP O
it 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !|||O O O O O O B-AP O O B-AP I-AP O O B-AP I-AP O O O B-AP O O O O
purchased a toshiba lap top it worked good until just after the warrenty went out .|||O O O O O O O O O O O O B-AP O O O
i always swore by pcs and would never consider a mac .|||O O O O O O O O O O O O
what an elegant , wonderful machine .|||O O O O O O O
this is now my 3rd macbook pro and i really honestly love it !|||O O O O O O O O O O O O O O
for 2 months .|||O O O O
i wanted to purchase the extended warranty and they refused , because they knew it was trouble .|||O O O O O B-AP I-AP O O O O O O O O O O O
do you ever think hp would do that ? never !|||O O O O O O O O O O O
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .|||O O O B-AP O O O O O O O O O O B-AP O O B-AP O
it 's not like i have used for half a year and then complained about it .|||O O O O O O O O O O O O O O O O O
still trying to learn how to use it .|||O O O O O O O O O
the reality was , it heated up very quickly , and took way too long to do simple things , like opening my documents folder .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP I-AP O
i bought the netbook because it was smaller and lighter for me to carry around .|||O O O O O O O O O O O O O O O O
the genius at the apple store advised me that there was nothing about my use of the computer that caused this failure .|||O O O O O O O O O O O O O O O O O O O O O O O
we 'll save our money to replace it with a mac again !|||O O O O O O O O O O O O O
thank you for your great product !|||O O O O O O O
this company truely does make horrible products and doesnt seem to because they are certain things like this never happen .|||O O O O O O O O O O O O O O O O O O O O O
i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive .|||O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
sorry toshiba , but 1st impressions do count for something .|||O O O O O O O O O O O
then , within 5 months , the charger crapped out on me .|||O O O O O O O B-AP O O O O O
and if you have a iphone or ipod touch you can connect and download songs to it at high speed .|||O O O O O O O O O O O O O O O O O O O B-AP O
overall this laptop is great .|||O O O O O O
i love the glass touchpad .|||O O O B-AP I-AP O
i continued to take the computer in again and they replaced the hard drive and mother board yet again .|||O O O O O O O O O O O O B-AP I-AP O B-AP I-AP O O O
i am using the external speaker sound is good .|||O O O O B-AP I-AP I-AP O O O
the apple mc371ll/a 24ghz 154-inch macbook pro notebook is a horrible waste of money .|||O O O O O O O O O O O O O O O
ok , this is probably the best laptop series ever devised by apple .|||O O O O O O O O O O O O O O
as of a couple weeks ago the middle portion of the laptop from top to bottom , , , about 4 inches across is hardly visible .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O
still testing the battery life as i thought it would be better , but am very happy with the upgrade .|||O O O B-AP I-AP O O O O O O O O O O O O O O O O
then hp sends it back to me with the hardware screwed up , not able to connect .|||O O O O O O O O O B-AP O O O O O O O O
i just hope the reputation that toshiba has is true and i wo n't have to worry about a crash .|||O O O O O O O O O O O O O O O O O O O O O
oh yeah , do n't forget the expensive shipping to and from hp .|||O O O O O O O O B-AP O O O O O
i would recommend anyone to buy from pcconnection express .|||O O O O O O O O O O
good luck .|||O O O
everything is so easy to use , mac software is just so much simpler than microsoft software .|||O O O O O B-AP O B-AP I-AP O O O O O O B-AP I-AP O
my favorite by far , although the most expensive , was my sony .|||O O O O O O O O O O O O O O
and if you do a lot of writing , editing is a problem since there is no forward delete key .|||O O O O O O O O O B-AP O O O O O O O O B-AP I-AP O
also i typed faster then then letters would show and it got to be realy annoying .|||O O O O O O O O O O O O O O O O O
as an owner of a toshiba satalite laptop computer things you should know before you buy .|||O O O O O O O O O O O O O O O O O
its ease of use and the top service from apple be it their phone assistance or bellying up to the genius bar can not be beat .|||O O O B-AP O O O B-AP O O O O O B-AP I-AP O O O O O B-AP I-AP O O O O O
it has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .|||O O O O O B-AP I-AP O O O O B-AP I-AP O B-AP I-AP O O O O O O O O O O O O O O B-AP O B-AP I-AP O O O O B-AP I-AP O O O O O O
i shipped out on saturday , july 17 .|||O O O O O O O O O
i bought it for really cheap also and it 's amazing .|||O O O O O O O O O O O O
acer has set me up with free recovery discs , when they are available since i asked .|||O O O O O O O B-AP I-AP O O O O O O O O O
i also purchased office max's "max assurance" with the no lemon clause .|||O O O B-AP I-AP I-AP I-AP O O O O O O
if you find yourself in the market for a new laptop and have the money do n't exclude looking at the mbps .|||O O O O O O O O O O O O O O O O O O O O O O O
i eventually did the migration from my imac backup disc which uses usb .|||O O O O O O O B-AP I-AP I-AP O O B-AP O
those things are very important , vital even !|||O O O O O O O O O
-they say it will take up to two weeks .|||O O O O O O O O O O
i did n't like one thing about it .|||O O O O O O O O O
the battery life seems to be very good , and have had no issues with it .|||O B-AP I-AP O O O O O O O O O O O O O O
enabling the battery timer is useless .|||O O B-AP I-AP O O O
temperatures on the outside were alright but i did not track in core processing unit temperatures .|||B-AP O O O O O O O O O O O B-AP I-AP I-AP I-AP O
yeah , to you .|||O O O O O
i got a mac as my hs graduation gift .|||O O O O O O O O O O
i have now had it for 15 months and love it .|||O O O O O O O O O O O O
it turned out it 's not really a problem to have a mac .|||O O O O O O O O O O O O O O
page just disapeared after you got yahoo or downloaded something .|||O O O O O O O O O O O
images can be multi-selected and viewed swiftly or in slideshow mode .|||O O O O O O O O O O O O
going to bring it to service today .|||O O O O O B-AP O O
there is no need to purchase virus protection for mac , which saves me a lot of time and money .|||O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O O O
but we had paid for bluetooth , and there was none .|||O O O O O B-AP O O O O O O
so , i paid a visit to lg notebook service center at alexandra road , hoping they can make the hinge tighter .|||O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O B-AP O O
my daughter uses it for games , email , facebook , pictures and music .|||O O O O O B-AP O O O O O O O O O
laptop is to be used like a netbook .|||O O O O O O O O O
it is always reliable , never bugged and responds well .|||O O O O O O O O B-AP O O
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard .|||O O O O O O O O O O O O O O B-AP O O O O O O O O B-AP O
trying to balance all of my roles leaves very little time for me to do anything , so i want to manage my time i do have to be the most efficient .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it was slow , locked up , and also had hardware replaced after only 2 months !|||O O O O O O O O O O B-AP O O O O O O
they had to replace the motherboard in april|||O O O O O B-AP O O
yes , the computer was light weight , less expensive than the average laptop , and was pretty self explantory in use .|||O O O O O O O O O O O O O O O O O O O O O B-AP O
also , if you need to talk to a representive at microsoft , there is a charge , which i believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with xp if they could .|||O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O B-AP O O O O
there is a little indent to help open it , but good luck with that .|||O O O O O O O O O O O O O O O O
i love windows 7 which is a vast improvment over vista .|||O O B-AP I-AP O O O O O O B-AP O
also , i have alot of trouble with it getting very hot , and not even sitting on anything to make it hot .|||O O O O O O O O O O O O O O O O O O O O O O O O
it was a great deal after all .|||O O O O O O O O
this mac is great !|||O O O O O
keyboard is great , very quiet for all the typing that i do .|||B-AP O O O O O O O O O O O O O
i grew up in a design family so it only made sense .|||O O O O O O O O O O O O O
gave phonenumber .|||O O O
it would take up too much time to do reaearch for my papers and i would be up hours-just because the computer was too slow .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
oh my goodness-i am not a happy camper .|||O O O O O O O O O
dell's customer disservice is an insult to it 's customers who pay good money for shoddy products .|||B-AP I-AP I-AP O O O O O O O O O O O O O O O
i 'd recommend this laptop to anyone !|||O O O O O O O O
yet , hp wo n't do anything about the problem .|||O O O O O O O O O O O
i 'm returning mine|||O O O O
it had a cooling system malfunction after 10 minutes of general use , and would not move past this error .|||O O O B-AP I-AP O O O O O O B-AP O O O O O O O O O
i can render avchd movies with little effort , which was a problem for most pc 's unless you had a quad core i7 .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O
it 's a bummer and one out of five is being kind .|||O O O O O O O O O O O O O
this is what they told me , it heats up , and that is the reason we no longer call them laptops , and simply categorize them as portables .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
after talking it over with the very knowledgeable sales associate , i chose the macbook pro over the white macbook .|||O O O O O O O O B-AP I-AP O O O O O O O O O O O
if you really want a bang-up system and do n't need to run windows applications , go with an apple ;|||O O O O O O B-AP O O O O O O B-AP I-AP O O O O O O
you wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet .|||O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
this laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials .|||O O O O O O O O O O O O O O O O O O O O O O O
one of them seems to have worked .|||O O O O O O O O
which i still use and have hooked up to my tv .|||O O O O O O O O O O O O
the problem i had with this unit was unresolvable .|||O O O O O O O O O O
it weighed like seven pounds or something like that .|||O B-AP O B-AP I-AP O O O O O
2 months later , the battery went .|||O O O O O B-AP O O
you may need to special order a bag .|||O O O O O O O B-AP O
it 's color is even cool .|||O O B-AP O O O O
and it has blue screen crashed on me twice .|||O O O O O O O O O O
another two weeks later and it was back in my possession .|||O O O O O O O O O O O O
keys are all in weird places and is way too large for the way it is designed .|||B-AP O O O O O O O O O O O O O O O B-AP O
i 've owned every pro model apple laptop for the last 8 years , this is by far the worst one i 've ever had .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
we purchase the dell xps several years ago for my home business .|||O O O O O O O O O O O O O
have purchased many products over the years from macconnection and this transaction , like all the others , we smoothly with no problems .|||O O O O O O O O O O O O O O O O O O O O O O O O
i would recommend anyone to buy from pcconnection express .|||O O O O O O O O O O
yes , a mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .|||O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O O O O O
he gave me this pc about 3 years ago and up to this point im still sitting here using it .|||O O O O O O O O O O O O O O O O O O O O O
i 'm pleased .|||O O O O
the keyboard feels good and i type just fine on it .|||O B-AP O O O O O O O O O O
with a healthy pessimism , i took the machine home and tried to find a flaw .|||O O O O O O O O O O O O O O O O O
shiny this laptop is the best of the best !|||O O O O O O O O O O
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing .|||O O O O O O O O O O O O O O B-AP O O O O O O O O O
and not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O
do n't waste their money , save it and but a mac .|||O O O O O O O O O O O O O
money and time well spent !|||O O O O O O
gradually the freezing screen evolved into a screen that froze in weird shapes .|||O O O O O O O O O O O O O O
best buy , 5 stars + + + sales , service , respect for old men who are n't familiar with the technology dell computers , 3 stars dell support , owes a me a couple|||O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
good laptop for the money .|||O O O O O O
i like the laptop overall .|||O O O O O O
i now travel with this laptop and my work pc .|||O O O O O O O O O O O
i am however pleased that it is still hanging in there .|||O O O O O O O O O O O O
both my husband and i have this model toshiba .|||O O O O O O O O O O
no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O B-AP O
yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .|||O O O B-AP O O O O O O O O O O O B-AP O B-AP I-AP O O B-AP O
since i keyboard over 100 wpm , i look for a unit that has a comfortble keyboard no keys sticking or lagging , strange configuration of "extra key" , etc .|||O O B-AP O O O O O O O O O O O O O B-AP O B-AP O O O O O B-AP I-AP I-AP I-AP O O O
i also tried the touch pad and compared it to other netbooks in the store .|||O O O O B-AP I-AP O O O O O O O O O O
it absolutely is more expensive than most pc laptops , but the ease of use , security , and minimal problems that have arisen make it well worth the pricetag .|||O O O O O O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O B-AP O
it gets stuck all of the time you use it , and you have to keep tapping on it to get it to work .|||O O O O O O O O B-AP O O O O O O O O O O O O O O B-AP O
lots of preloaded software .|||O O B-AP I-AP O
sony , acer , dell , packard bell and toshiba .|||O O O O O O O O O O O
and then , a guy came out to serve me instead .|||O O O O O O O O O O O O
breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late !|||O O O O O O O O O O O O O O O O O O O O O
have returned that laptop unused .|||O O O O O O
will probably never buy a hp again .|||O O O O O O O O
i got tired of buying laptops and having them stop working after a year .|||O O O O O O O O O O O O O O O
i should have been more observant .|||O O O O O O O
i wish it had a webcam though , then it would be perfect !|||O O O O O B-AP O O O O O O O O
my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O B-AP O
another thing i might add is the battery life is excellent .|||O O O O O O O B-AP I-AP O O O
one drawback , i wish the keys were backlit .|||O O O O O O B-AP O O O
when the buyer returned it wal mart just boxed it , taped it shut resold it as new .|||O O O O O O O O O O O O O O O O O O O
what a great little laptop .|||O O O O O O
acer was no help and garmin could not determine the problemafter spending about 2 hours with me , so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my software with no problem .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O
i wish the volume could be louder and the mouse did n't break after only a month .|||O O O B-AP O O O O O B-AP O O O O O O O O
i play a lot of casual games online , and the touchpad is very responsive .|||O O O O O O O O O O O B-AP O O O O
granted , it 's still a very new laptop but in comparison to my previous laptops and desktops , my mac boots up noticeably quicker .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O
it caught a virus that completely wiped out my hard drive in a matter of hours .|||O O O O O O O O O B-AP I-AP O O O O O O
would pay more for it if i had too !|||O O O O O O O O O O
could n't keep a page up you were working on !|||O O O O O O O O O O O
it is everything i 'd hoped it would be from a look and feel standpoint , but somehow a bit more sturdy .|||O O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O
the only fact i do n't like about apples is they generally use safari and i do n't use safari but after i install mozzilla firfox i love every single bit about it .|||O O O O O O O O O O O O O B-AP O O O O O B-AP O O O O B-AP I-AP O O O O O O O O
the bluetooth was not there at all , and the fingerprint reader driver would be there , but the software would hang after installation was 1/2 way done .|||O B-AP O O O O O O O O B-AP I-AP I-AP O O O O O O B-AP O O O O O O O O O
great battery , speed , display .|||O B-AP O B-AP O B-AP O
i would not recommend this product to anyone .|||O O O O O O O O O
i like to use it at the race track to handiecap the horse races .|||O O O O O O O O O O O O O O O
i was given a mac as a birthday present and could n't be happier with it 3 years later .|||O O O O O O O O O O O O O O O O O O O O
the delivery was fast , and i would not hesitate to purchase this laptop again .|||O B-AP O O O O O O O O O O O O O O
i 've been impressed with the battery life and the performance for such a small amount of memory .|||O O O O O O B-AP I-AP O O B-AP O O O O O O B-AP O
do a quick search on the internet see if im the only one .|||O O O O O O O O O O O O O O
i 'm extremely happy with my purchase as i now have the portable power i have been looking for .|||O O O O O O O O O O O O O O O O O O O O
it 's applications are terrific , including the replacements for microsoft office .|||O O B-AP O O O O O O O B-AP I-AP O
they improved nothing else such as resolution , appearance , cooling system , graphics card , etc .|||O O O O O O B-AP O B-AP O B-AP I-AP O B-AP I-AP O O O
i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid , mind you this was my means of communication with my fiance who was deployed but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .|||O O O O O O B-AP I-AP O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O O O O O
is this partially due to the fact that it is running windows vista ?|||O O O O O O O O O O O B-AP I-AP O
you might think , i am new in this game , but i am a gadget lover , and have had more than 2 dozens laptops in the past 15 years , and none gets this hot , that fast .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i was informed that i need to call some 0900 number first .|||O O O O O O O O O O O O O
i really wanted a mac over a pc because i used a mac in high school .|||O O O O O O O O O O O O O O O O O
1 payed $ 2200 for a premium laptop|||O O O O O O O O
i bought them for my college age grandchildren and these macs are totally reliable and support their class work 100 % of the time .|||O O O O O O O O O O O O O O O O O O O O O O O O O
the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .|||O B-AP O O O B-AP O O B-AP I-AP O O O B-AP O O B-AP I-AP O O O O O
do not purchase this laptop .|||O O O O O O
my dad has one of the very first toshibas ever made , yes its abit slow now but still works well and i hooked to my ethernet !|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O B-AP O
mostly i love the drag and drop feature .|||O O O O B-AP I-AP I-AP I-AP O
oh yeah , and if the fancy webcam breaks guess who you have to send it to to get it fixed ?|||O O O O O O O B-AP O O O O O O O O O O O O O O
she brought out 2 other identical netbooks and still insist that it is like that one .|||O O O O O O O O O O O O O O O O O
i ordered through macmall , which saved me the sales tax i would have incurred buying locally .|||O O O O O O O O O B-AP I-AP O O O O O O O
very fast and efficient !|||O O O O O
of course , i also have several great software packages that came for free including iwork , garageband , and imovie .|||O O O O O O O O B-AP I-AP O O O O O B-AP O B-AP O O B-AP O
being virus-resistant is a huge plus .|||O O O O O O O
the screen is very large and crystal clear with amazing colors and resolution .|||O B-AP O O O O O O O O B-AP O B-AP O
after a little more than a year of owning my macbook pro , the monitor has completely died .|||O O O O O O O O O O O O O O B-AP O O O O
in my house , hp is a nasty word .|||O O O O O O O O O O
the brand of itunes has just become ingrained in our lexicon now , but keep in mind that apple started it all .|||O O O B-AP O O O O O O O O O O O O O O O O O O O
by the way teachers , they offer a discount which helps !|||O O O O O O O O O O O O
now he mows yards so he can earn the money for the wireless internet .|||O O O O O O O O O O O O O O O
i still see the benefits of a pc when i do not know how to do something on my mac .|||O O O O O O O O O O O O O O O O O O O O O
size , i know 13 is small especially for a desktop replacement but with an external monitor , who cares .|||B-AP O O O O O O O O O O O O O O B-AP I-AP O O O O
additional caveat , the base installation comes with some toshiba-specific software that may or may not be to a user 's liking .|||O O O O B-AP I-AP O O O O B-AP O O O O O O O O O O O O
it is held in place magnetically .|||O O O O O O O
