i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
the battery life seems to be very good , and have had no issues with it .|||O B-AP I-AP O O O O O O O O O O O O O O
enabling the battery timer is useless .|||O O B-AP I-AP O O O
temperatures on the outside were alright but i did not track in core processing unit temperatures .|||B-AP O O O O O O O O O O O B-AP I-AP I-AP I-AP O
going to bring it to service today .|||O O O O O B-AP O O
there is no need to purchase virus protection for mac , which saves me a lot of time and money .|||O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O O O
but we had paid for bluetooth , and there was none .|||O O O O O B-AP O O O O O O
so , i paid a visit to lg notebook service center at alexandra road , hoping they can make the hinge tighter .|||O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O B-AP O O
my daughter uses it for games , email , facebook , pictures and music .|||O O O O O B-AP O O O O O O O O O
it is always reliable , never bugged and responds well .|||O O O O O O O O B-AP O O
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard .|||O O O O O O O O O O O O O O B-AP O O O O O O O O B-AP O
it was slow , locked up , and also had hardware replaced after only 2 months !|||O O O O O O O O O O B-AP O O O O O O
they had to replace the motherboard in april|||O O O O O B-AP O O
yes , the computer was light weight , less expensive than the average laptop , and was pretty self explantory in use .|||O O O O O O O O O O O O O O O O O O O O O B-AP O
also , if you need to talk to a representive at microsoft , there is a charge , which i believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with xp if they could .|||O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O B-AP O O O O
i love windows 7 which is a vast improvment over vista .|||O O B-AP I-AP O O O O O O B-AP O
keyboard is great , very quiet for all the typing that i do .|||B-AP O O O O O O O O O O O O O
dell's customer disservice is an insult to it 's customers who pay good money for shoddy products .|||B-AP I-AP I-AP O O O O O O O O O O O O O O O
it had a cooling system malfunction after 10 minutes of general use , and would not move past this error .|||O O O B-AP I-AP O O O O O O B-AP O O O O O O O O O
i can render avchd movies with little effort , which was a problem for most pc 's unless you had a quad core i7 .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O
after talking it over with the very knowledgeable sales associate , i chose the macbook pro over the white macbook .|||O O O O O O O O B-AP I-AP O O O O O O O O O O O
if you really want a bang-up system and do n't need to run windows applications , go with an apple ;|||O O O O O O B-AP O O O O O O B-AP I-AP O O O O O O
you wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet .|||O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
it weighed like seven pounds or something like that .|||O B-AP O B-AP I-AP O O O O O
2 months later , the battery went .|||O O O O O B-AP O O
you may need to special order a bag .|||O O O O O O O B-AP O
it 's color is even cool .|||O O B-AP O O O O
keys are all in weird places and is way too large for the way it is designed .|||B-AP O O O O O O O O O O O O O O O B-AP O
yes , a mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .|||O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O O O O O
the keyboard feels good and i type just fine on it .|||O B-AP O O O O O O O O O O
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing .|||O O O O O O O O O O O O O O B-AP O O O O O O O O O
and not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .|||O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O
best buy , 5 stars + + + sales , service , respect for old men who are n't familiar with the technology dell computers , 3 stars dell support , owes a me a couple|||O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O B-AP O
yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .|||O O O B-AP O O O O O O O O O O O B-AP O B-AP I-AP O O B-AP O
since i keyboard over 100 wpm , i look for a unit that has a comfortble keyboard no keys sticking or lagging , strange configuration of "extra key" , etc .|||O O B-AP O O O O O O O O O O O O O B-AP O B-AP O O O O O B-AP I-AP I-AP I-AP O O O
i also tried the touch pad and compared it to other netbooks in the store .|||O O O O B-AP I-AP O O O O O O O O O O
it absolutely is more expensive than most pc laptops , but the ease of use , security , and minimal problems that have arisen make it well worth the pricetag .|||O O O O O O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O B-AP O
it gets stuck all of the time you use it , and you have to keep tapping on it to get it to work .|||O O O O O O O O B-AP O O O O O O O O O O O O O O B-AP O
lots of preloaded software .|||O O B-AP I-AP O
i wish it had a webcam though , then it would be perfect !|||O O O O O B-AP O O O O O O O O
my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O B-AP O
another thing i might add is the battery life is excellent .|||O O O O O O O B-AP I-AP O O O
one drawback , i wish the keys were backlit .|||O O O O O O B-AP O O O
acer was no help and garmin could not determine the problemafter spending about 2 hours with me , so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my software with no problem .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O
i wish the volume could be louder and the mouse did n't break after only a month .|||O O O B-AP O O O O O B-AP O O O O O O O O
i play a lot of casual games online , and the touchpad is very responsive .|||O O O O O O O O O O O B-AP O O O O
granted , it 's still a very new laptop but in comparison to my previous laptops and desktops , my mac boots up noticeably quicker .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O
it caught a virus that completely wiped out my hard drive in a matter of hours .|||O O O O O O O O O B-AP I-AP O O O O O O
it is everything i 'd hoped it would be from a look and feel standpoint , but somehow a bit more sturdy .|||O O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O
the only fact i do n't like about apples is they generally use safari and i do n't use safari but after i install mozzilla firfox i love every single bit about it .|||O O O O O O O O O O O O O B-AP O O O O O B-AP O O O O B-AP I-AP O O O O O O O O
the bluetooth was not there at all , and the fingerprint reader driver would be there , but the software would hang after installation was 1/2 way done .|||O B-AP O O O O O O O O B-AP I-AP I-AP O O O O O O B-AP O O O O O O O O O
great battery , speed , display .|||O B-AP O B-AP O B-AP O
the delivery was fast , and i would not hesitate to purchase this laptop again .|||O B-AP O O O O O O O O O O O O O O
i 've been impressed with the battery life and the performance for such a small amount of memory .|||O O O O O O B-AP I-AP O O B-AP O O O O O O B-AP O
it 's applications are terrific , including the replacements for microsoft office .|||O O B-AP O O O O O O O B-AP I-AP O
they improved nothing else such as resolution , appearance , cooling system , graphics card , etc .|||O O O O O O B-AP O B-AP O B-AP I-AP O B-AP I-AP O O O
i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid , mind you this was my means of communication with my fiance who was deployed but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .|||O O O O O O B-AP I-AP O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O O O O O
is this partially due to the fact that it is running windows vista ?|||O O O O O O O O O O O B-AP I-AP O
the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .|||O B-AP O O O B-AP O O B-AP I-AP O O O B-AP O O B-AP I-AP O O O O O
my dad has one of the very first toshibas ever made , yes its abit slow now but still works well and i hooked to my ethernet !|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O B-AP O
mostly i love the drag and drop feature .|||O O O O B-AP I-AP I-AP I-AP O
oh yeah , and if the fancy webcam breaks guess who you have to send it to to get it fixed ?|||O O O O O O O B-AP O O O O O O O O O O O O O O
i ordered through macmall , which saved me the sales tax i would have incurred buying locally .|||O O O O O O O O O B-AP I-AP O O O O O O O
of course , i also have several great software packages that came for free including iwork , garageband , and imovie .|||O O O O O O O O B-AP I-AP O O O O O B-AP O B-AP O O B-AP O
the screen is very large and crystal clear with amazing colors and resolution .|||O B-AP O O O O O O O O B-AP O B-AP O
after a little more than a year of owning my macbook pro , the monitor has completely died .|||O O O O O O O O O O O O O O B-AP O O O O
the brand of itunes has just become ingrained in our lexicon now , but keep in mind that apple started it all .|||O O O B-AP O O O O O O O O O O O O O O O O O O O
size , i know 13 is small especially for a desktop replacement but with an external monitor , who cares .|||B-AP O O O O O O O O O O O O O O B-AP I-AP O O O O
additional caveat , the base installation comes with some toshiba-specific software that may or may not be to a user 's liking .|||O O O O B-AP I-AP O O O O B-AP O O O O O O O O O O O O
taking it back to best buy i found that a tiny plastic piece inside had broken manuf issue .|||O O O O O O O O O O O O O O O O B-AP O O
it has no camera but , i can always buy and install one easy .|||O O O B-AP O O O O O O O O O O O
the display is incredibly bright , much brighter than my powerbook and very crisp .|||O B-AP O O O O O O O O O O O O O
the amd turin processor seems to always perform so much better than intel .|||O B-AP I-AP I-AP O O O O O O O O B-AP O
after that the said it was under warranty .|||O O O O O O O B-AP O
the start menu is not the easiest thing to navigate due to the stacking .|||O B-AP I-AP O O O O O O B-AP O O O O O
only thing i would want to add to this is an internal bluray read/write drive .|||O O O O O O O O O O O O B-AP I-AP I-AP O
the service tech said he had tried to duplicate the damage and was n't able to recreate it therefore it had to be their defect .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
the tech store i purchased this from sent it back , , , , , eventually i got a new or repaired machine approximately 3 weeks later .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O
really like the textured surface which shows no fingerprints .|||O O O O B-AP O O O O O
the screen is bright and the keyboard is nice ;|||O B-AP O O O O B-AP O O O
but the machine is awesome and ilife is great and i love snow leopard x .|||O O O O O O B-AP O O O O O B-AP I-AP I-AP O
high price tag , however .|||O B-AP I-AP O O O
i thought learning the mac os would be hard , but it is easily picked up if you are familiar with a pc .|||O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O
i had static in the output , and i had to reduce the sound output quality to fm as opposed to the default cd .|||O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O
i custom ordered the machine from hp and could not understand the techie due to his accent .|||O O O O O O O O O O O O B-AP O O O O O
it is easy to use and lightweight .|||O O O O B-AP O O O
i went to toshiba online help and found some suggestions to fix it .|||O O O B-AP I-AP I-AP O O O O O O O O
they also have a longer service life than other computers i have several friends who still use the older apple powerbooks .|||O O O O O B-AP I-AP O O O O O O O O O O O O O O O
if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor .|||O O O O O O O O O O O O O B-AP O O O O O O O B-AP O
this laptop is a great price and has a sleek look .|||O O O O O B-AP O O O O B-AP O
i especially like the keyboard which has chiclet type keys .|||O O O O B-AP O O O O B-AP O
small screen somewhat limiting but great for travel .|||O B-AP O O O O O O O
runs hot i thought we were paying for quality in our decision to buy an apple product .|||O O O O O O O O B-AP O O O O O O O O O
for the not so good , i got the stock screen , which is very glossy .|||O O O O O O O O O B-AP I-AP O O O O O O
the gray color was a good choice .|||O B-AP I-AP O O O O O
i would like to have volume buttons rather than the adjustment that is on the front .|||O O O O O B-AP I-AP O O O O O O O O O O
the processor a amd semprom at 21 ghz is a bummer it does not have the power for hd or heavy computing .|||O B-AP O O O O O O O O O O O O O O O O O O O B-AP O
i bought a protector for my key pad and it works great ,|||O O O B-AP O O B-AP I-AP O O O O O
the magnetic plug-in power charging power cord is great i even put it to the test by accident excellent innovation !|||O B-AP I-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
it seems they could have updated xp and done without creating vista .|||O O O O O O B-AP O O O O B-AP O
it is easy to use , fast and has great graphics for the money .|||O O O O B-AP O O O O O B-AP O O O O
i like how the mac os is so simple and easy to use .|||O O O O B-AP I-AP O O O O O O B-AP O
while apple 's saving grace is the fact that they at least stand behind their products , and their support is great , it would be nice if their products were more reliable to justify the premium .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O
i was ready to take it back for a refund , but the geek squad camed through and pointed me in the right direction to get it fixed .|||O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
only good thing is the graphics quality .|||O O O O O B-AP I-AP O
the other lock-up problems are from a myriad of causes , the most common being a corrupted version of appleworks which can render the browser useless .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O B-AP O O
the paint wears off easily due to the keyboard being farther back than usual .|||O B-AP O O O O O O B-AP O O O O O O
i had purchased it from a major electronics store and took it to their service department to find out what the problem was .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O
the store honored their warrenty and made the comment that they do n't even recommend the hp brand because of the problems with their warrenty .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O B-AP O
i always use a backup hard disk to store important files at all times .|||O O O O O B-AP I-AP O O O O O O O O
they sent out the box right away for me to send in my computer , they paid postage and whatnot , but when i got my computer back it still was n't running right , and now my cd drive was n't reading anything !|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O B-AP I-AP O O O O O
but the screen size is not that bad for email and web browsing .|||O O B-AP I-AP O O O O O O O B-AP I-AP O
once i removed all the software the laptop loads in 15-20 seconds .|||O O O O O B-AP O O B-AP O O O O
on my powerbook g4 i would never use the trackpad i would use an external mouse because i did n't like the trackpad .|||O O O O O O O O O B-AP O O O O B-AP I-AP O O O O O O B-AP O
this computer does n't do that well with certain games it ca n't play some and it becomes too hot while playing games .|||O O O O O O O O O B-AP O O O O O O O O O O O O B-AP O
obviously one of the most important features of any computer is the human interface .|||O O O O O O B-AP O O O O O B-AP I-AP O
yeah , of course smarty pants fix it nowaspect1 , compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple which i promptly did .|||O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O
the body is a bit cheaply made so it will be interesting to see how long it holds up .|||O B-AP O O O O O O O O O O O O O O O O O O
the i5 blows my desktop out of the water when it comes to rendering videos .|||O B-AP O O O O O O O O O O O O O O
with a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .|||O O O O O O O O O O B-AP I-AP O B-AP O O O O O O
am very glad i bought it , great netbook , low price .|||O O O O O O O O O O O B-AP O
the apple team also assists you very nicely when choosing which computer is right for you ,|||O B-AP I-AP O O O O O O O O O O O O O O
i think part of the problem with this computer is vista , yet i know vista is n't the entire issue because my latest purchase was my acer and it also has vista i should have waited the few months to get the next operating system .|||O O O O O O O O O O B-AP O O O O B-AP O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O B-AP I-AP O
the video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O
that whole experience was just ridiculous we sent it in and after they told us that we had to pay $ 175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $ 175 and it was fixed .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
fan vents to the side , so no cooling pad needed , great feature !|||B-AP O O O O O O O B-AP I-AP O O O B-AP O
i use my mac all the time , i love the software , the way it takes a short time to load things , how easy it is to use and most of all how you do n't have to worry about viruses .|||O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
wasted me at least 8 hours of installation time .|||O O O O O O O B-AP I-AP O
it has far exceeded my expectations for power , storage , and abilitiy .|||O O O O O O O B-AP O B-AP O O B-AP O
a great feature is the spotlight search , one can search for documents by simply typing a keyword , rather than parsing tens of file folders for a document .|||O O B-AP O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
my wireless system would not recognize windows 7 and i could n't get online to find out why .|||O B-AP I-AP O O O B-AP I-AP O O O O O O O O O O O
i am enjoying it and the quality it provides is great !|||O O O O O O B-AP O O O O O
suffice it to say , my macbook pro keeps me going with its long battery life and blazing speed .|||O O O O O O O O O O O O O O B-AP I-AP O O B-AP O
the os is also very user friendly , even for those that switch from a pc , with a little practice you can take full advantage of this os !|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
itunes is a handy music-management program , and it is essential for anyone with an ipod .|||B-AP O O O O B-AP O O O O O O O O O O O
mac is not made for gaming .|||O O O O O B-AP O
well i spilled something on it and they replaced it with this model , which gets hot and the battery does n't make it through 1 dvd .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O
i 've had to call apple support to set up my new printer and have had wonderful experiences with helpful , english speaking from vancouver techs that walked me through the processes to help me .|||O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O
but sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars .|||O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O
i need graphic power to run my adobe creative apps efficiently .|||O O B-AP I-AP O O O B-AP I-AP I-AP O O
the programs are esay to use and are quick to process this computer works like a charm .|||O B-AP O O O B-AP O O O O O O O O O O O O
the materials that came with the computer did not include the right # anywhere .|||O B-AP O O O O O O O O O O O O O
it does not even have the software to play a dvd now .|||O O O O O O B-AP O O O O O O
tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again .|||B-AP I-AP O O O O O O O B-AP I-AP O O O O O O O O O O O O
how does the power supply not work ! ! !|||O O O B-AP I-AP O O O O O
sells for the same as a netbook without sacrificing size .|||O O O O O O O O O B-AP O
upon giving them the serial number the first thing i was told , was that it was out of warranty and i could pay to have it repaired .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O
windows xp sp2 caused many problems on the computer , so i had to remove it .|||B-AP I-AP I-AP O O O O O O O O O O O O O O
i reloaded with windows 7 ultimate , and the bluetooth and fingerprint reader software would not load .|||O O O B-AP I-AP I-AP O O O B-AP O B-AP I-AP I-AP O O O O
none of the techs at hp knew what they were doing .|||O O O B-AP I-AP I-AP O O O O O O
this is my second one and the same problem , bad video card unreliable overall , this will be my second time returning this laptop back to best buy .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O
with awesome graphics and assuring security , it 's perfect !|||O O B-AP O O B-AP O O O O O
laptop was in new condition and operational , but for the audio problem when 1st sent for repair .|||O O O O O O O O O O O B-AP O O O O O O O
i was disappointed when i realized that the keyboard does n't light up on this model .|||O O O O O O O O B-AP O O O O O O O O
it runs perfectly .|||O B-AP O O
the laptop was very easy to set up .|||O O O O O O B-AP I-AP O
sometimes the screen even goes black on this computer .|||O O B-AP O O O O O O O
i recommend for word processing and internet users .|||O O O B-AP I-AP O B-AP O O
since i 've had this computer i 've only used the trackpad because it is so nice and smooth .|||O O O O O O O O O O O B-AP O O O O O O O O
a longer battery life would have been great , but it meets it 's spec quite easily .|||O O B-AP I-AP O O O O O O O O O O B-AP O O O
who could n't love a dvd burner , 80-gigabyte hd , and fairly new graphics chip ? as i soon discovered , though , there is a reason for which similarly-configured sony and toshiba machines cost more , they use higher-quality components that are faster , better-configured , and end up lasting a lot longer .|||O O O O O B-AP I-AP O O B-AP O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O
its fast and another thing i like is that it has three usb ports .|||O O O O O O O O O O O O B-AP I-AP O
the salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it .|||O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O
that system is fixed .|||O B-AP O O O
the computer itself was fast , ran smoothly , and had no problems .|||O O O O O O B-AP O O O O O O O
like the price and operation .|||O O B-AP O B-AP O
the brand is tarnished in my heart .|||O B-AP O O O O O O
